,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA
12,^N225,1965-09-08,3,0.0,0.0,0.0
13,^N225,1965-09-10,3,0.0,0.0,0.0
14,^N225,1966-06-09,2,0.0,0.0,0.0
15,^N225,1966-06-13,3,0.0,0.0,0.0
16,^N225,1967-09-20,3,0.0,0.0,0.0
17,^N225,1969-08-18,5,0.0,0.0,0.0
18,^N225,1970-08-03,3,0.0,0.0,0.0
19,^N225,1971-09-16,2,0.0,0.0,0.0
20,^N225,1976-08-10,3,0.0,0.0,0.0
21,^N225,1979-09-13,3,0.0,0.0,0.0
22,^N225,1979-09-03,2,0.0,0.0,0.0
23,^N225,1979-09-04,2,0.0,0.0,0.0
24,^N225,1979-09-13,3,0.0,0.0,0.0
25,^N225,1979-09-04,2,0.0,0.0,0.0
26,^N225,1983-08-18,3,0.0,0.0,0.0
27,^N225,1984-09-13,2,0.0,0.0,0.0
28,^N225,1985-09-02,3,0.0,0.0,0.0
29,^N225,1985-11-21,2,0.0,0.0,0.0
30,^N225,1985-09-02,3,0.0,0.0,0.0
31,^N225,1985-09-27,2,0.0,0.0,0.0
32,^N225,1985-09-27,3,0.0,0.0,0.0
33,^N225,1985-09-27,3,0.0,0.0,0.0
34,^N225,1985-09-27,4,0.0,0.0,0.0
35,^N225,1989-09-22,4,0.3813880905574456,0.6775281622318412,0.6079012572374102
36,^N225,1991-08-19,2,5.985574115624759,1.3942554525956414,1.8519898795069618
37,^N225,1991-08-19,2,5.985574115624759,1.3942554525956414,1.8519898795069618
38,^N225,1991-08-19,2,5.985574115624759,1.3942554525956414,1.8519898795069618
39,^N225,1991-08-19,3,5.985574115624759,1.3942554525956414,1.8519898795069618
40,^N225,1992-08-24,5,6.096431873900322,3.0533148971883537,2.5695775060934993
41,^N225,1992-08-26,3,2.0050501540748047,3.120322477808269,2.6361900089475228
42,^N225,1992-09-11,4,4.352919533968303,3.4367101925008234,3.0533148971883537
43,^N225,1993-08-31,3,0.9489509940386004,1.0865052761163103,1.1144112073035413
44,^N225,1995-08-03,2,2.125310682830753,2.3322829054051386,2.3858763631358215
45,^N225,1995-10-04,3,1.5952177376709176,1.9159346247932771,1.958539382432639
46,^N225,1996-07-12,2,1.146485351951222,0.9434008630609299,1.0447059488660648
47,^N225,1996-09-06,3,1.1966839241870566,1.165693576170506,1.3315326512066643
48,^N225,1998-09-25,2,2.7356180769158054,2.872766169704142,2.0451448744748313
49,^N225,1998-09-29,2,2.903651836725912,3.0240788763989803,2.01441443889673
50,^N225,1998-08-27,2,2.8501634607086737,1.5216715955922804,1.417748600552446
51,^N225,1999-09-16,2,3.715769845438268,1.4215705457268795,1.5296051042604126
52,^N225,1999-10-18,2,2.1568401612933132,1.8729547723354025,1.802920101926801
53,^N225,1999-08-23,3,1.3782778490479293,1.4665754837157599,1.4229035655312487
54,^N225,1999-09-16,4,3.715769845438268,1.4215705457268795,1.5296051042604126
0,^GDAXI,2003-09-18,2,1.9393642048451656,1.8145358640692346,1.9107944222497157
1,^GDAXI,2004-09-16,3,0.6873078389203398,1.0656403693050427,1.4680219701213837
2,^GDAXI,2004-08-13,4,1.2110216225026196,1.4946905761138547,1.1842775866632542
3,^GDAXI,2004-09-16,3,0.6873078389203398,1.0656403693050427,1.4680219701213837
4,^GDAXI,2005-08-29,3,1.8789978903066942,1.0042192228000257,0.76658727986211
5,^GDAXI,2005-08-25,3,0.7899981059146827,0.9307506865955991,0.8901878500956568
6,^GDAXI,2005-10-24,3,1.4175882834996132,1.0566605109509595,1.0742367247723448
7,^GDAXI,2005-08-29,3,1.8789978903066942,1.0042192228000257,0.76658727986211
8,^GDAXI,2005-08-29,3,1.8789978903066942,1.0042192228000257,0.76658727986211
9,^GDAXI,2008-09-01,2,1.6869305298097084,1.6955253168265703,1.9320495364056312
10,^GDAXI,2014-07-04,2,0.2336454177607069,0.7608470827969969,0.7622663820300295
11,^GDAXI,2016-10-07,2,1.0809528533971964,1.356609442754913,1.1809855373439033
12,^GDAXI,1989-09-22,4,0.0,0.0,0.0
13,^GDAXI,1991-08-19,2,0.0,0.0,0.0
14,^GDAXI,1991-08-19,2,0.0,0.0,0.0
15,^GDAXI,1991-08-19,2,0.0,0.0,0.0
16,^GDAXI,1991-08-19,3,0.0,0.0,0.0
17,^GDAXI,1992-08-24,5,0.0,0.0,0.0
18,^GDAXI,1992-08-26,3,0.0,0.0,0.0
19,^GDAXI,1992-09-11,4,0.0,0.0,0.0
20,^GDAXI,1993-08-31,3,0.0,0.0,0.0
21,^GDAXI,1995-08-03,2,0.8675715561760922,0.8528474387280635,0.9830436224312147
22,^GDAXI,1995-10-04,3,0.5753208305707628,1.0132400737251126,0.7277657588464678
23,^GDAXI,1996-07-12,2,0.6159041611865065,0.6979174047353149,0.7651856099366813
24,^GDAXI,1996-09-06,3,1.0945020429842416,0.6592002672235596,0.7584498995418357
25,^GDAXI,1998-09-25,2,3.1007939393573003,3.7831018803501952,3.1746823378847586
26,^GDAXI,1998-09-29,2,2.1574105573517732,3.592547664729493,3.283346305774373
27,^GDAXI,1998-08-27,2,4.681959466269463,2.4505819796057193,1.6278282906855153
28,^GDAXI,1999-09-16,2,1.1985687828470153,1.6236985531542334,1.8693859426591917
29,^GDAXI,1999-10-18,2,1.6317082470704614,1.700267749243635,1.5997306091791705
30,^GDAXI,1999-08-23,3,0.8879594352553996,1.9293112190090949,1.8096627538736687
31,^GDAXI,1999-09-16,4,1.1985687828470153,1.6236985531542334,1.8693859426591917
0,^FCHI,2003-09-18,2,1.123386416623931,1.3220751198801588,1.4460990109091658
1,^FCHI,2004-09-16,3,0.7142382982380003,0.8335107094031438,1.1646314829481155
2,^FCHI,2004-08-13,4,1.0067824211670666,1.1175001339792172,0.9172054093339659
3,^FCHI,2004-09-16,3,0.7142382982380003,0.8335107094031438,1.1646314829481155
4,^FCHI,2005-08-29,3,1.1731471255059454,0.8361990119516901,0.79194688011007
5,^FCHI,2005-08-25,3,0.6274298703408152,0.7962024126352648,0.9717740608741013
6,^FCHI,2005-10-24,3,1.3484788328798591,0.8701286175248707,0.7718355853822141
7,^FCHI,2005-08-29,3,1.1731471255059454,0.8361990119516901,0.79194688011007
8,^FCHI,2005-08-29,3,1.1731471255059454,0.8361990119516901,0.79194688011007
