areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-05-19,234792
K02000001,United Kingdom,overview,2020-05-18,231743
K02000001,United Kingdom,overview,2020-05-17,229167
K02000001,United Kingdom,overview,2020-05-16,227332
K02000001,United Kingdom,overview,2020-05-15,225257
K02000001,United Kingdom,overview,2020-05-14,222733
K02000001,United Kingdom,overview,2020-05-13,220111
K02000001,United Kingdom,overview,2020-05-12,216803
K02000001,United Kingdom,overview,2020-05-11,213415
K02000001,United Kingdom,overview,2020-05-10,209840
K02000001,United Kingdom,overview,2020-05-09,207518
K02000001,United Kingdom,overview,2020-05-08,205353
K02000001,United Kingdom,overview,2020-05-07,202289
K02000001,United Kingdom,overview,2020-05-06,198518
K02000001,United Kingdom,overview,2020-05-05,194701
K02000001,United Kingdom,overview,2020-05-04,191032
K02000001,United Kingdom,overview,2020-05-03,187642
K02000001,United Kingdom,overview,2020-05-02,184654
K02000001,United Kingdom,overview,2020-05-01,181422
K02000001,United Kingdom,overview,2020-04-30,176689
K02000001,United Kingdom,overview,2020-04-29,171734
K02000001,United Kingdom,overview,2020-04-28,166311
K02000001,United Kingdom,overview,2020-04-27,161600
K02000001,United Kingdom,overview,2020-04-26,156896
K02000001,United Kingdom,overview,2020-04-25,153426
K02000001,United Kingdom,overview,2020-04-24,149684
K02000001,United Kingdom,overview,2020-04-23,144731
K02000001,United Kingdom,overview,2020-04-22,139585
K02000001,United Kingdom,overview,2020-04-21,134105
K02000001,United Kingdom,overview,2020-04-20,129342
K02000001,United Kingdom,overview,2020-04-19,124927
K02000001,United Kingdom,overview,2020-04-18,121075
K02000001,United Kingdom,overview,2020-04-17,116372
K02000001,United Kingdom,overview,2020-04-16,111436
K02000001,United Kingdom,overview,2020-04-15,106164
K02000001,United Kingdom,overview,2020-04-14,101120
K02000001,United Kingdom,overview,2020-04-13,96824
K02000001,United Kingdom,overview,2020-04-12,92658
K02000001,United Kingdom,overview,2020-04-11,89178
K02000001,United Kingdom,overview,2020-04-10,85626
K02000001,United Kingdom,overview,2020-04-09,81317
